entry_time,exit_time,entry_price,exit_price,qty,side,pnl,fees,r,slippage,symbol
2024-12-29 23:11:19,2024-12-29 23:11:19,,,,LONG,4.9054,0.0,,,BTCUSDT
2024-12-31 17:35:49,2024-12-31 17:35:49,,,,SHORT,-2.9102,0.0,,,BTCUSDT
2025-01-01 11:54:57,2025-01-01 11:54:57,,,,LONG,0.7776,0.0,,,BTCUSDT
2025-01-03 20:56:14,2025-01-03 20:56:14,,,,LONG,2.2658,0.0,,,BTCUSDT
2025-01-04 12:05:47,2025-01-04 12:05:47,,,,LONG,1.044,0.0,,,BTCUSDT
2025-01-07 01:30:12,2025-01-07 01:30:12,,,,SHORT,-0.6702,0.0,,,BTCUSDT
2025-01-07 15:35:29,2025-01-07 15:35:29,,,,LONG,7.3066,0.0,,,BTCUSDT
2025-01-07 20:07:32,2025-01-07 20:07:32,,,,LONG,1.3814,0.0,,,BTCUSDT
2025-01-09 13:53:16,2025-01-09 13:53:16,,,,SHORT,-5.5684,0.0,,,BTCUSDT
2025-01-09 17:49:41,2025-01-09 17:49:41,,,,SHORT,-1.9814,0.0,,,BTCUSDT
2025-01-19 14:14:11,2025-01-19 14:14:11,,,,SHORT,-12.90016,0.0,,,TRUMPUSDT
2025-01-29 19:40:14,2025-01-29 19:40:14,,,,SHORT,-3.7498,0.0,,,BTCUSDT
2025-02-04 08:06:30,2025-02-04 08:06:30,,,,SHORT,-3.5688,0.0,,,BTCUSDT
2025-02-04 21:25:22,2025-02-04 21:25:22,,,,SHORT,-3.6754,0.0,,,BTCUSDT
2025-02-21 20:02:45,2025-02-21 20:02:45,,,,LONG,6.2812,0.0,,,BTCUSDT
2025-02-28 02:39:44,2025-02-28 02:39:44,,,,LONG,10.2474,0.0,,,BTCUSDT
2025-08-10 01:00:30,2025-08-10 01:00:30,,,,LONG,1.0902,0.0,,,BTCUSDT
2025-08-14 21:07:00,2025-08-14 21:07:00,,,,LONG,14.8683,0.0,,,BTCUSDT
2025-08-19 01:51:24,2025-08-19 01:51:24,,,,SHORT,-2.3998,0.0,,,BTCUSDT
2025-08-20 22:45:20,2025-08-20 22:45:20,,,,LONG,0.4208,0.0,,,BTCUSDT
2025-08-25 08:09:33,2025-08-25 08:09:33,,,,LONG,3.2784,0.0,,,BTCUSDT
2025-08-25 13:46:08,2025-08-25 13:46:08,,,,SHORT,-0.2998,0.0,,,BTCUSDT
2025-08-25 13:46:08,2025-08-25 13:46:08,,,,SHORT,-0.5996,0.0553005,,,BTCUSDT
2025-08-25 14:09:19,2025-08-25 14:09:19,,,,SHORT,-1.4283,0.0,,,BTCUSDT
2025-08-25 17:16:46,2025-08-25 17:16:46,,,,LONG,1.1673,0.0,,,BTCUSDT
2025-09-23 00:58:29,2025-09-23 00:58:29,,,,LONG,0.0425,0.0,,,BTCUSDT
